Iteration,Param1,Param2,Drag,Sideforce,Lift,Stdev Drag,Stdev Sideforce,Stdev Lift,Time
63,-0.276579,-0.212189,476.429424,5.081272,-318.310849,9.363283,13.001904,82.031981,136872.8738
64,0.013857,-0.748928,469.261069,-3.980977,-314.444396,9.287176,11.855683,67.322249,138893.8337
65,-0.674219,-0.738559,465.789718,-13.113251,-309.576363,10.640549,8.582971,73.364004,140798.3083
66,0.046434,0.367503,483.176641,-6.645571,-328.267296,9.689216,15.004975,68.83935,142751.1195
67,0.482172,-0.004483,484.672098,9.882002,-338.959206,10.5945,12.610782,84.074324,144602.131
68,0.525108,-0.412113,477.60661,7.129044,-334.13271,9.174863,17.5738,78.920602,146457.502
69,-0.094114,0.630252,489.928671,-4.909346,-361.169125,10.451405,19.497957,66.367332,148497.1514
70,-0.753746,0.867005,490.117522,-8.492186,-334.493861,8.769137,13.956066,72.303408,150416.5835
71,0.658569,0.290371,483.92729,25.131803,-350.124665,9.135386,15.69924,64.187833,152290.2962
72,-0.511343,0.217145,482.660947,1.910714,-347.658812,8.568102,24.58763,56.161915,154154.5744
73,0.288457,0.902359,495.103414,4.876216,-333.808833,10.405997,10.000995,68.38821,156019.0636
74,0.621774,0.423235,481.11801,30.206672,-337.485896,8.794642,9.703761,64.603024,157889.1783
75,0.808063,0.485073,481.209292,24.149803,-342.070455,12.133007,6.770241,77.050734,159775.329
76,-0.362587,0.110713,479.960373,-2.886476,-329.888518,9.412799,12.57104,77.760989,161672.5336
77,-0.499297,-0.340943,485.074486,-9.433444,-349.6128,11.607452,9.106678,64.569165,163536.021
78,0.35222,0.960697,487.380412,9.313621,-331.667798,10.318411,10.224978,74.598525,165399.8425
79,-0.862887,-0.706294,471.246492,29.394435,-341.1478,7.658879,19.577265,58.644248,167329.4723
80,-0.214574,-0.169208,483.664194,-3.265773,-346.873308,8.293316,14.925062,62.615257,171138.4056
81,0.412986,0.501749,482.551147,-13.652499,-338.128312,12.004993,16.471889,79.782574,173073.6992
82,0.868669,0.720989,487.320373,16.064736,-351.735041,8.634027,17.414011,71.736836,175008.4825
83,0.722292,-0.069228,478.276771,-6.633926,-362.919363,13.75622,15.758411,79.966674,176897.4479
